iter	Passed	Remaining
408	5359	4232
409	5376	4222
410	5396	4215
411	5415	4206
412	5437	4199
413	5454	4189
414	5476	4183
415	5495	4174
416	5516	4166
417	5534	4157
418	5553	4148
419	5571	4139
420	5596	4134
421	5617	4126
422	5637	4118
423	5655	4108
424	5671	4096
425	5689	4086
426	5704	4074
427	5719	4062
428	5735	4050
429	5748	4037
430	5763	4024
431	5778	4012
432	5792	4000
433	5807	3987
434	5820	3974
435	5834	3961
436	5849	3948
437	5866	3937
438	5879	3924
439	5893	3911
440	5907	3898
441	5924	3886
442	5937	3873
443	5952	3861
444	5966	3848
445	5981	3835
446	5994	3822
447	6009	3809
448	6024	3797
449	6042	3786
450	6064	3778
451	6082	3768
452	6098	3756
453	6116	3745
454	6136	3735
455	6151	3723
456	6168	3712
457	6184	3700
458	6202	3688
459	6219	3677
460	6232	3663
461	6248	3652
462	6263	3639
463	6281	3627
464	6297	3615
465	6313	3603
466	6330	3592
467	6346	3580
468	6363	3568
469	6378	3555
470	6393	3542
471	6408	3529
472	6422	3516
473	6437	3504
474	6452	3491
475	6472	3480
476	6488	3468
477	6502	3455
478	6518	3443
479	6537	3432
480	6557	3421
481	6574	3410
482	6593	3398
483	6617	3390
484	6747	3436
485	6783	3433
486	6805	3423
487	6825	3412
488	6845	3401
489	6866	3391
490	6885	3379
491	6906	3368
492	6923	3356
493	6939	3343
494	6954	3329
495	6968	3315
496	6981	3301
497	6994	3286
498	7007	3272
499	7023	3258
500	7039	3245
501	7054	3232
502	7072	3219
503	7088	3206
504	7105	3193
505	7120	3180
506	7136	3166
507	7152	3153
508	7166	3139
509	7179	3125
510	7192	3110
511	7206	3096
512	7218	3081
513	7231	3067
514	7243	3052
515	7257	3037
516	7272	3024
517	7287	3010
518	7301	2996
519	7316	2983
520	7328	2967
521	7341	2953
522	7354	2938
523	7367	2924
524	7380	2909
525	7395	2896
526	7408	2881
527	7423	2868
528	7437	2854
529	7453	2840
530	7466	2826
531	7482	2812
532	7495	2798
533	7509	2784
534	7523	2770
535	7538	2756
536	7551	2742
537	7564	2727
538	7576	2712
539	7589	2698
540	7601	2683
541	7613	2669
542	7625	2654
543	7638	2639
544	7650	2625
545	7663	2610
546	7676	2596
547	7688	2581
548	7700	2566
549	7711	2551
550	7723	2537
551	7735	2522
552	7748	2508
553	7761	2493
554	7773	2479
555	7786	2464
556	7798	2450
557	7809	2435
558	7821	2420
559	7833	2405
560	7844	2391
561	7857	2376
562	7868	2362
563	7879	2347
564	7889	2332
565	7902	2317
566	7913	2302
567	7926	2288
568	7937	2273
569	7948	2259
570	7961	2244
571	7972	2230
572	7985	2215
573	7996	2201
574	8008	2186
575	8021	2172
576	8033	2157
577	8042	2142
578	8055	2128
579	8067	2114
580	8079	2099
581	8091	2085
582	8104	2071
583	8116	2056
584	8127	2042
585	8139	2027
586	8151	2013
587	8164	1999
588	8177	1985
589	8189	1970
590	8199	1956
591	8211	1942
592	8223	1927
593	8236	1913
594	8247	1899
595	8261	1885
596	8274	1871
597	8286	1856
598	8298	1842
599	8309	1828
600	8320	1813
601	8332	1799
602	8344	1785
603	8356	1770
604	8368	1756
605	8379	1742
606	8391	1728
607	8403	1713
608	8416	1699
609	8427	1685
610	8438	1671
611	8449	1656
612	8461	1642
613	8473	1628
614	8485	1614
615	8496	1600
616	8509	1586
617	8520	1571
618	8532	1557
619	8547	1544
620	8561	1530
621	8574	1516
622	8585	1502
623	8598	1488
624	8610	1474
625	8623	1460
626	8634	1445
627	8648	1432
628	8660	1418
629	8671	1403
630	8683	1389
631	8694	1375
632	8706	1361
633	8719	1347
634	8729	1333
635	8741	1319
636	8754	1305
637	8765	1291
638	8777	1277
639	8790	1263
640	8801	1249
641	8814	1235
642	8827	1221
643	8839	1207
644	8851	1193
645	8863	1179
646	8875	1166
647	8886	1152
648	8899	1138
649	8911	1124
650	8924	1110
651	8936	1096
652	8947	1082
653	8960	1068
654	8972	1054
655	8984	1040
656	8995	1026
657	9006	1012
658	9018	998
659	9029	985
660	9041	971
661	9054	957
662	9065	943
663	9077	929
664	9089	915
665	9101	901
666	9112	888
667	9123	874
668	9135	860
669	9146	846
670	9161	832
671	9173	819
672	9184	805
673	9196	791
674	9207	777
675	9218	763
676	9231	749
677	9243	736
678	9255	722
679	9267	708
680	9281	695
681	9292	681
682	9302	667
683	9313	653
684	9325	639
685	9337	626
686	9349	612
687	9364	598
688	9375	585
689	9388	571
690	9400	557
691	9412	544
692	9424	530
693	9435	516
694	9447	502
695	9459	489
696	9470	475
697	9481	461
698	9494	448
699	9505	434
700	9516	420
701	9530	407
702	9544	393
703	9557	380
704	9570	366
705	9584	352
706	9596	339
707	9610	325
708	9624	312
709	9635	298
710	9648	284
711	9660	271
712	9672	257
713	9686	244
714	9699	230
715	9712	217
716	9726	203
717	9740	189
718	9757	176
719	9771	162
720	9785	149
721	9798	135
722	9813	122
723	9825	108
724	9837	94
725	9851	81
726	9864	67
727	9879	54
728	9892	40
729	9905	27
730	9916	13
731	9929	0
