iter	F1	Logloss
0	0.8335186132	0.6742922431
1	0.8384814119	0.658075308
2	0.8473644746	0.6414669803
3	0.8530022305	0.6250548017
4	0.8505787708	0.610611327
5	0.8536134625	0.595659208
6	0.8517770221	0.5835574855
7	0.8533480351	0.5703075206
8	0.8535477788	0.5589057156
9	0.8559153842	0.5494942666
10	0.8566310473	0.5393646193
11	0.855567639	0.5304914441
12	0.8571660342	0.5211417663
13	0.8573492398	0.5124289206
14	0.8584532271	0.5036647742
15	0.8574778441	0.4966029879
16	0.8559656592	0.4913455702
17	0.8562499248	0.4830886671
18	0.8569963898	0.4755512834
19	0.85687408	0.4697177194
20	0.8578370448	0.4625577773
21	0.857931941	0.4561227627
22	0.8587512983	0.4500253407
23	0.8586904804	0.4439494327
24	0.8595429714	0.4384152909
25	0.8610819536	0.4328176664
26	0.8607922895	0.4280306205
27	0.8615547598	0.4234382237
28	0.8617200611	0.4190774374
29	0.8622512262	0.4148570546
30	0.8621528599	0.4111111146
31	0.8625501726	0.4073343747
32	0.8627536936	0.4037981889
33	0.8628115956	0.4012874423
34	0.8632273818	0.3979053965
35	0.8635041219	0.3940983172
36	0.8638641074	0.3907196863
37	0.8634934889	0.3881112987
38	0.8634189522	0.3854390877
39	0.8637312231	0.3828699693
40	0.8645230129	0.3798777107
41	0.8658319239	0.3776904013
42	0.8653876957	0.3753695649
43	0.8658082887	0.3729745713
44	0.8657963262	0.370697981
45	0.8662525834	0.368326459
46	0.8663125266	0.3661595216
47	0.8665285276	0.3648843947
48	0.8669485735	0.3630369522
49	0.8669485735	0.3610367281
50	0.8667690432	0.3592765901
51	0.8669134166	0.3570889411
52	0.8672256391	0.3549051325
53	0.867478048	0.3531214296
54	0.8673468256	0.3513129503
55	0.8676842213	0.3498882101
56	0.8678404469	0.3483606487
57	0.8680448944	0.3469093822
58	0.8688627487	0.3454763326
59	0.8687548329	0.3441259639
60	0.8691525583	0.3426033528
61	0.8694054433	0.3413843382
62	0.8698257323	0.3399164529
63	0.8691783314	0.3388006154
64	0.8698257323	0.3375843115
65	0.8701380844	0.3363043569
66	0.8703756863	0.3353093724
67	0.8708000979	0.3338514986
68	0.8708969195	0.3325496077
69	0.870918747	0.3317373083
70	0.8717959719	0.3304081324
71	0.8718336964	0.3295645168
72	0.8725064521	0.3286104454
73	0.8728290403	0.3279158223
74	0.8724579658	0.3269154132
75	0.8725760805	0.3260579616
76	0.8729955035	0.3250884493
77	0.873307372	0.324078027
78	0.8736398727	0.3230961877
79	0.8737853922	0.3222351673
80	0.873989762	0.3213505749
81	0.8734147798	0.3204430824
82	0.874329581	0.3193054421
83	0.874066323	0.3184542558
84	0.8742222418	0.3176308884
85	0.8742605917	0.3167490353
86	0.8749714498	0.3160530071
87	0.8750787627	0.3152074387
88	0.8753319629	0.3141990618
89	0.8756825332	0.3134403843
90	0.8755752507	0.3123988663
91	0.8758285748	0.3121455903
92	0.8758772661	0.3116243198
93	0.8762964135	0.3108674002
94	0.8769397613	0.3100059267
95	0.8773588656	0.3092599129
96	0.8774076528	0.3083817302
97	0.8777778231	0.3076762424
98	0.8776611959	0.3071828165
99	0.87798252	0.3063172151
100	0.8779636031	0.3056623214
101	0.878061275	0.305192723
102	0.8783055499	0.3044324718
103	0.878403298	0.3037196541
104	0.8788130989	0.3030940757
105	0.8790669277	0.3029573953
106	0.8790365003	0.3022234358
107	0.8789876063	0.302051411
108	0.8798341561	0.3012411114
109	0.8799809141	0.300818175
110	0.8799809141	0.3001773154
111	0.8798558678	0.2997403598
112	0.8799537696	0.298943717
113	0.8802166232	0.2984414479
114	0.8807911002	0.2978098439
115	0.8808312189	0.2972885902
116	0.8814633553	0.2969481867
117	0.8811429422	0.2965781516
118	0.8814055909	0.2959915785
119	0.8813565714	0.2955679375
120	0.8816191409	0.2953088184
121	0.8821268713	0.2946705105
122	0.8820287622	0.2942217456
123	0.8824874854	0.2937396978
124	0.8829715707	0.2931882332
125	0.8827668332	0.2925951249
126	0.8830290638	0.2922388888
127	0.8834959138	0.2915997788
128	0.8835284014	0.2911227782
129	0.8843147396	0.2907041234
130	0.8844211607	0.2903054524
131	0.8845847968	0.289691566
132	0.8850592606	0.2891367902
133	0.885403463	0.2885761117
134	0.8849128872	0.2880989799
135	0.8852161487	0.2876470056
136	0.8854368378	0.2871676969
137	0.8856494858	0.2866932113
138	0.8860097393	0.2859521931
139	0.8858464025	0.2854938409
140	0.8857893254	0.285177718
141	0.8859863468	0.2847485766
142	0.8864115242	0.2843826419
143	0.8864530947	0.2839917642
144	0.8868704274	0.2835654647
145	0.887443084	0.2829742169
146	0.8875985418	0.2826883819
147	0.8875492157	0.2825795244
148	0.8875910752	0.2821853041
149	0.8876478734	0.2818927914
150	0.8885092027	0.2814449483
151	0.8884031163	0.2810870402
152	0.8886007486	0.2802340715
153	0.8885513323	0.2798662895
154	0.8890672536	0.2796078054
155	0.8895407143	0.2790757168
156	0.8895901663	0.2787832458
157	0.8899009819	0.2787210476
158	0.8899574326	0.2782377274
159	0.8901127962	0.2776990987
160	0.890218673	0.2773657718
161	0.8901197407	0.2772880214
162	0.8904097179	0.2769677169
163	0.8910379643	0.2765788223
164	0.8911932736	0.276481141
165	0.8912990397	0.2760368441
166	0.8915467489	0.275668703
167	0.8916458711	0.2753914295
168	0.8919003532	0.2749036947
169	0.8920060904	0.274572146
170	0.8920556786	0.2742765204
171	0.8921548716	0.2740511636
172	0.8922044764	0.273594292
173	0.892092194	0.2731457792
174	0.892310198	0.2728926872
175	0.8921979583	0.2725957523
176	0.8924029506	0.2724483452
177	0.892750493	0.2720324379
178	0.8927440839	0.2715697281
179	0.893048602	0.2713414728
180	0.8935708679	0.2709767196
181	0.8937262513	0.2708162717
182	0.894186217	0.2704039984
183	0.8945964821	0.2699685779
184	0.8946960492	0.2696311038
185	0.8949012158	0.269433097
186	0.8951502916	0.2691163149
187	0.8952001234	0.2690832573
188	0.8951502916	0.268855462
189	0.8953056873	0.2686176192
190	0.8948892815	0.2682758343
191	0.8950945394	0.2680857708
192	0.8954053698	0.2676544877
193	0.8955167546	0.2674412524
194	0.895815882	0.2671081237
195	0.8956546732	0.2668611862
196	0.896071034	0.2664014666
197	0.8962763185	0.2660315249
198	0.8961651166	0.2659729776
199	0.8963205484	0.2658464705
200	0.896731246	0.2655277354
201	0.8967700246	0.2652320197
202	0.8971919381	0.2648641288
203	0.8970809709	0.2643203938
204	0.8971364629	0.2638307168
205	0.8974918658	0.2634171024
206	0.8977473426	0.2631743081
207	0.8978473987	0.2630015454
208	0.8980475778	0.2627900725
209	0.8983532746	0.2625806617
210	0.8980475778	0.2624528357
211	0.8978420349	0.2619402085
212	0.8978920814	0.261927877
213	0.8980923231	0.2616234512
214	0.8984534445	0.2613065766
215	0.8983928531	0.2610852671
216	0.8989597665	0.2604322176
217	0.898648651	0.2600985911
218	0.8992708323	0.2597270073
219	0.8993711428	0.2595859725
220	0.8993660904	0.259211903
221	0.899260685	0.2590715837
222	0.8993660904	0.2589179422
223	0.8993108577	0.2585782295
224	0.8996722085	0.2582550964
225	0.8999331264	0.2579430607
226	0.899873031	0.2577242629
227	0.899873031	0.2577193923
228	0.9000788517	0.2575867669
229	0.9005407689	0.2572787107
230	0.9009021993	0.2567770787
231	0.9010577648	0.2565073255
232	0.9011127459	0.2564112397
233	0.9014237879	0.2560817031
234	0.9013734971	0.2559966391
235	0.9015243865	0.2556031287
236	0.9015746943	0.2553222811
237	0.9015197784	0.2550545743
238	0.9015151684	0.254813469
239	0.9016753266	0.2546536225
240	0.9016661695	0.2544093067
241	0.9019728418	0.2542223304
242	0.9019728418	0.2542138865
243	0.9023936754	0.2538926561
244	0.9025448103	0.2536563256
245	0.9025951999	0.253486837
246	0.9029019807	0.253076557
247	0.9030575467	0.2527443685
248	0.9030028238	0.2523132943
249	0.9032045776	0.2519725701
250	0.90330973	0.2517539479
251	0.9038856485	0.2513457755
252	0.9036713582	0.2510524554
253	0.9034106428	0.2508864498
254	0.9038732822	0.2505756227
255	0.9037681629	0.2503663122
256	0.9037640152	0.2500477919
257	0.9040752965	0.2498909462
258	0.904491593	0.2494656615
259	0.9047988041	0.2491244678
260	0.9045926628	0.2489185003
261	0.9047988041	0.2486579938
262	0.9049038329	0.2484230111
263	0.9049038329	0.248159382
264	0.9050049519	0.2481029312
265	0.9052578483	0.2476126348
266	0.9056702868	0.2474314073
267	0.9057209077	0.2474077896
268	0.9057678006	0.2471174585
269	0.906024752	0.2469584829
270	0.9064337929	0.2464992826
271	0.9067415856	0.2461244564
272	0.9065858966	0.2460986281
273	0.9068430298	0.245519253
274	0.9071001999	0.2452619275
275	0.9073032285	0.245067978
276	0.9074081737	0.2449516135
277	0.907458946	0.2446056687
278	0.9076620922	0.244092106
279	0.907506348	0.2437624497
280	0.9075571421	0.2437363159
281	0.907506348	0.2437237855
282	0.9082752957	0.2432954194
283	0.9085359756	0.243031911
284	0.908637714	0.2427080691
285	0.908529646	0.2425746172
286	0.9085805331	0.242439431
287	0.9087903642	0.2422441855
288	0.9085836882	0.2420953186
289	0.9086345706	0.2420859711
290	0.9093624977	0.2417910022
291	0.9092097844	0.2412968661
292	0.9093115876	0.2410220046
293	0.9095211807	0.2407845363
294	0.9096230105	0.2403685033
295	0.9099824581	0.2400857787
296	0.9099315109	0.2399814862
297	0.9099824581	0.239857882
298	0.9105005145	0.2396032802
299	0.9102938595	0.2393566412
300	0.9102938595	0.2391983644
301	0.9103957979	0.239045698
302	0.9103448258	0.2390341042
303	0.9103448258	0.239021207
304	0.9106534677	0.2386881591
305	0.9108064723	0.2384101032
306	0.9108064723	0.2381973307
307	0.9107527619	0.2378673098
308	0.9105432548	0.23784229
309	0.9106990352	0.2376192649
310	0.9108037796	0.2373583461
311	0.9108064723	0.2372375677
312	0.9109621885	0.2369266791
313	0.9109111746	0.2367527928
314	0.9111126358	0.2365508966
315	0.9110615943	0.2365243921
316	0.9116845175	0.23633576
317	0.9122002647	0.2359924913
318	0.9122513692	0.2356399019
319	0.9120421154	0.2354434642
320	0.9121467523	0.2353347005
321	0.9125116547	0.2352008888
322	0.9123535954	0.2350088801
323	0.9126673309	0.2347018323
324	0.9123535954	0.23445339
325	0.9123535954	0.2341468241
326	0.9130809273	0.2338747311
327	0.9131320766	0.2335848383
328	0.9132899109	0.2334326738
329	0.9133922189	0.2331595898
330	0.913338897	0.2330382025
331	0.913545724	0.2328763924
332	0.9137013711	0.2322811976
333	0.9138549477	0.2321439687
334	0.9141622559	0.2318956776
335	0.9142154781	0.2317663849
336	0.914524884	0.2316725328
337	0.9146274042	0.2314716779
338	0.9144736326	0.2313433096
339	0.9146786729	0.2311727302
340	0.9147812276	0.2311137397
341	0.9148325135	0.2309116305
342	0.9148838052	0.230903532
343	0.9148838052	0.2307645631
344	0.9150908323	0.2305561914
345	0.9150908323	0.230547128
346	0.9152978659	0.2303774198
347	0.9152465493	0.2303575021
348	0.9153987779	0.2301022355
349	0.9152961063	0.2297928846
350	0.9152961063	0.2297891188
351	0.9154501223	0.2297778712
352	0.9153474392	0.2296058868
353	0.9156075813	0.2293675255
354	0.9158163043	0.2292154143
355	0.9159206357	0.2287864707
356	0.9159719847	0.2287631123
357	0.9163331327	0.2285252172
358	0.9164343846	0.2282901895
359	0.9165372036	0.2279909864
360	0.9164343846	0.2279566506
361	0.9164857912	0.2278098861
362	0.9166929448	0.2276133352
363	0.9170057935	0.2274018706
364	0.9169529572	0.2272045208
365	0.9173157844	0.2269151685
366	0.9174186931	0.226837996
367	0.9173659071	0.2268023609
368	0.9175203281	0.2264923638
369	0.9175203281	0.2264870212
370	0.9175730994	0.226273089
371	0.9176233043	0.2261663878
372	0.9177263036	0.2258765221
373	0.9181420369	0.22571651
374	0.9179863041	0.225631839
375	0.9182450878	0.2251242283
376	0.9184534648	0.2250145241
377	0.9185039087	0.2248628054
378	0.9187627669	0.2247341584
379	0.9187627669	0.2247019582
380	0.9190226466	0.2243256716
381	0.9189185021	0.2241937653
382	0.9188659139	0.224013803
383	0.9188659139	0.2239136472
384	0.9189690841	0.2236656694
385	0.9188122815	0.2234422667
386	0.9187617284	0.2230871589
387	0.9186575229	0.2229549298
388	0.9191764464	0.222712372
389	0.9193322024	0.2225504736
390	0.9193847241	0.2224309643
391	0.9194879458	0.2222612729
392	0.9196436767	0.2220382556
393	0.9195395654	0.2218553277
394	0.9195395654	0.2215844855
395	0.9197985729	0.2214355178
396	0.9199026667	0.2211384908
397	0.9198502165	0.2210852803
398	0.9202657504	0.2208363179
399	0.920317414	0.2208148833
400	0.9205764795	0.2206523253
401	0.9207832651	0.220237723
402	0.9207832651	0.2202245115
